producer,name,type,varietal,natural,vegan,sustainable,sweet,body,characteristics,description,price,url,imageUrl
Alban Vineyards,Central Coast Viognier,white,Viognier,,,,dry,full bodied,"stone fruit
honey
","Alban Vineyards are pretty unique in the world of wine in that they are best known for their work with Viognier. Aside from winemakers in Condireu, you'd say Alban, and potentially Yalumba of Australia are the two greatest Viognier producers in the world. Viognier is very difficult to get right, but here you can see what's possible - momentous concentration of peachy fruit, creamy honey (but not at all due to oxidation) and surprising levels of freshness and acid.",£38,https://www.pacificwines.co.uk/wine/central-coast-viognier,https://www.pacificwines.co.uk/assets/images/products/146-2x.jpg
Twomey,Russian River Pinot Noir,red,Pinot Noir,,,,dry,medium,,"In few locations is Pinot Noir as at home as it is in Russian River Valley and this bottle from Twomey is a wine you really don't want to end - a gorgeous, opulent, dancing, fragrant Pinot Noir with so much to admire. It's intense but not extracted, light but not lightweight and the fruit is just so bright and charismatic. An engrossing wine - this is why Pinot is arguably the greatest grape of all.",£63,https://www.pacificwines.co.uk/wine/russian-river-pinot-noir,https://www.pacificwines.co.uk/assets/images/products/89-2x.jpg
Sokol Blosser,Evolution Red (multi blend),red,Red Blend,Y,,,dry,light,,"A fun wine from Sokol Blosser. The blend is generally kept a secret, and the wine is non-vintage, which has led to a lot of attention and tongue in cheek questioning as to how the wine is actually made. But aside from the esoteric method at play, this is a really top class wine, lush and fruit driven, natural, so it has that classic bruised red apple skin note, but it's clean and crunchy, interesting and terroir driven.",£18,https://www.pacificwines.co.uk/wine/evolution-red-multi-blend,https://www.pacificwines.co.uk/assets/images/products/161-2x.jpg
Lo-Fi Wines,Chardonnay 2019,white,Chardonnay,Y,,,dry,medium,,"Lo-Fi Chardonnay is a super confident wine - a wine made with great touch and finesse. It's light, for a Californian Chardonnay, with high acidity, a fresh, vibrant flavour profile - think cooking apple skins, and there's a discreet use of oak, very much sitting in the background, but subtly softening and seasoning. A very easy going, friendly Chardonnay, but one that you'll want again and again.",£28,https://www.pacificwines.co.uk/wine/chardonnay-2019,https://www.pacificwines.co.uk/assets/images/products/157-2x.jpg
Ovum Wines,Old Love Riesling,white,Riesling,Y,,,dry,light,,"A total head-turner, Old Love Riesling is a breathtaking, dramatic riesling. Soaring acidity could feel dominant, but it doesn't at all - waxy, orange and lemon driven fruit is so rich, aromatic and textural, the summer florals so eye-catching. The wine finishes with a moreish, saline, mineral freshness. Drink with a plate of fresh anchovies or blowtorched sardines.",£22,https://www.pacificwines.co.uk/wine/old-love-riesling,https://www.pacificwines.co.uk/assets/images/products/164-2x.jpg
Lo-Fi Wines,Chenin Blanc,white,Chenin Blanc,Y,,,dry,medium,,"From Jurassic Park Vineyard, this is a stylish, but very approachable Chenin Blanc - it's highly terroir driven and fruit-forward, the flavour profile contains lots of things, perhaps coincidentally, that are grown in California - apples, peaches, lemons, almonds. It was aged in neutral, old oak for 6 months, which lends a creamy, soft feel to the wine. Drink outside with an al fresco lunch and it'll make you happy.",£27,https://www.pacificwines.co.uk/wine/chenin-blanc,https://www.pacificwines.co.uk/assets/images/products/156-2x.jpg
Louis M. Martini,Sonoma County Cabernet Sauvignon,red,Cabernet Sauvignon,N,,,dry,medium full,,"From one of the original Napa Cabernet pioneers, it's easy to see why this wine is so phenomenally popular in California - it is utterly quintessential; a textbook example. It enters plump and round, the fruit sweet and juicy, but ripe, not jammy. Then you get all the hallmarks of serious cabernet appearing in line - savoury cedar, sweet vanilla from oak and fine, supple tannins. It finishes dry and savoury.",£20,https://www.pacificwines.co.uk/wine/sonoma-county-cabernet-sauvignon-2018,https://www.pacificwines.co.uk/assets/images/products/63-2x.jpg
,,,,,,,,,,,,,
Varner Wines,Foxglove Pinot Noir,red,Pinot Noir,N,,,dry,light,,"Foxglove is the second label from Varner, but it's a label into which a lot of care and attention goes, from sourcing the best Central Coast fruit to using the same production methods as their top wines. It certainly shows in this dashing wine, a Pinot which has a simple, delicious fruit/oak flavour profile, but that oak is unobtrusive and authentic and the fruit is perfumed and vivid. Just very good.",£20,https://www.pacificwines.co.uk/wine/foxglove-pinot-noir,https://www.pacificwines.co.uk/assets/images/products/18-2x.jpg
Cristom,Eola-Amity Hills Chardonnay,white,Chardonnay,,,,dry,medium,,"This wine from Cristom is really sensational, and pretty rare. They say Oregon is the mirror of Burgundy, and that certainly makes sense when you taste this wine - it has ravishing acidity and clarity alongside cool climate fruit - lemon zest and pear, and then towards the end you find the weight, the caramelised, creamy side to the wine which comes from French Oak, but it's integrated so brilliantly and it has remarkable length. No wonder it's considered an icon.",£38,https://www.pacificwines.co.uk/wine/eola-amity-hills-chardonnay,https://www.pacificwines.co.uk/assets/images/products/15-2x.jpg
Chanin Wine Company,Sanford & Benedict Chardonnay,white,Chardonnay,,,,dry,full bodied,,"From one of the greatest Chardonnay vineyards in California, Sanford & Benedict, this is one of those wines that takes you on a journey with every sip - an immersive, thought-provoking journey. The wine is texturally magnificent, it's silky and ample, weighty, yet focussed and precise. It opens with beautiful confit-lemon character and then comes layer upon layer of fascinating development - it unravels through to a monumental conclusion, then you're left tasting it for minutes.",£48,https://www.pacificwines.co.uk/wine/sanford-and-benedict-chardonnay,https://www.pacificwines.co.uk/assets/images/products/108-2x.jpg
,,,,,,,dry,full bodied,,"Arguably the most famous Cabernet vineyard in Sonoma, this is a wine you simply must try. A blockbuster Cabernet, it's staggeringly precise and fine for a wine this powerful. A pristine, concentrated yet ripe, exotic and oriental, meaty and charred, salty and savoury, muscular yet rich and generous Cabernet with terroir character from the iron rich red MR soils. Impeccable tannin, acid and alcohol integration. This is an astonishing wine.",,,
,,,,,,,,,,,,,
Grgich Hills,Estate Merlot 2017,red,Merlot,Y,,,dry,medium full,,"Miljenko ""Mike"" Grgich gained international fame when the Chardonnay he produced outscored the best of France in the 1976 Judgement of Paris, shaking up the wine world (are really annoying France!). This Merlot, from their estate vineyards, is full of complex flavours of wild strawberries, spiced plums and anise wrapped up in a velvety texture which will have you gripped from the get go. Pair that ripe fruit with ratatouille or roast veal and peppercorn sauce.",£49,https://www.pacificwines.co.uk/wine/estate-merlot-2017,https://www.pacificwines.co.uk/assets/images/products/133-2x.jpg
Arietta,"Hudson H-block (Cab Franc, Merlot)",red,"Cabernet Franc, Merlot",,,,,,,,£130,https://www.pacificwines.co.uk/wine/hudson-h-block-cab-franc-merlot,https://www.pacificwines.co.uk/assets/images/products/176-2x.jpg
Louis M. Martini,Monte Rosso Cabernet Sauvignon,red,Cabernet Sauvignon,,,,dry,full bodied,,"Arguably the most famous Cabernet vineyard in Sonoma, this is a wine you simply must try. A blockbuster Cabernet, it's staggeringly precise and fine for a wine this powerful. A pristine, concentrated yet ripe, exotic and oriental, meaty and charred, salty and savoury, muscular yet rich and generous Cabernet with terroir character from the iron rich red MR soils. Impeccable tannin, acid and alcohol integration. This is an astonishing wine.",£105,https://www.pacificwines.co.uk/wine/monte-rosso-cabernet-sauvignon-2016,https://www.pacificwines.co.uk/assets/images/products/134-2x.jpg
Napa Cellars,Pinot Noir - Medium,red,Pinot Noir,,,,dry,medium,,"It's really un-heard of to get Napa Valley Pinot of this quality for this price, but here it is, a beautifully made, fragrant, expressive wine with very well integrated oak character, rich, voluptuous fruit - it's round, ripe and moreish, and incredibly varietal - there's structure there too, making this versatile in the extreme - its as at home with Sunday lunch as it is on its own. Stock up, you won't regret it.",£24,https://www.pacificwines.co.uk/wine/love-red,https://www.pacificwines.co.uk/assets/images/products/203-2x.jpg
Kistler,Les Noisetiers,white,Chardonnay,,,,dry,,,,£99,https://www.pacificwines.co.uk/wine/les-noisetiers,https://www.pacificwines.co.uk/assets/images/products/200-2x.jpg
Gnarly Head,Cabernet Sauvignon,red,Cabernet Sauvignon,,,,dry,,,,£16,https://www.pacificwines.co.uk/wine/cabernet-sauvignon_2,https://www.pacificwines.co.uk/assets/images/products/185-2x.jpg
Gnarly Head,Pinot Noir,red,Pinot Noir,,,,dry,,,,£16,https://www.pacificwines.co.uk/wine/pinot-noir_2,https://www.pacificwines.co.uk/assets/images/products/186-2x.jpg
Gnarly Head,Old Vine Zinfandel,red,Zinfandel,,,,dry,,,,£16,https://www.pacificwines.co.uk/wine/old-vine-zinfandel_3,https://www.pacificwines.co.uk/assets/images/products/187-2x.jpg
Scotto Family,Grace Bridge Pinot Noir,red,Pinot Noir,,,,dry,,,,£12,https://www.pacificwines.co.uk/wine/grace-bridge-pinot-noir,https://www.pacificwines.co.uk/assets/images/products/188-2x.jpg
Varner Wines,Foxglove Chardonnay,white,Chardonnay,,,,dry,,,,£18,https://www.pacificwines.co.uk/wine/foxglove-chardonnay,https://www.pacificwines.co.uk/assets/images/products/189-2x.jpg
Varner Wines,Foxglove Zinfandel,red,Zinfandel,,,,dry,,,,£18,https://www.pacificwines.co.uk/wine/foxglove-zinfandel,https://www.pacificwines.co.uk/assets/images/products/190-2x.jpg
Backhouse,Pinot Noir,red,Pinot Noir,,,,dry,,,,£15,https://www.pacificwines.co.uk/wine/pinot-noir_3,https://www.pacificwines.co.uk/assets/images/products/192-2x.jpg
Viano,Cabernet Sauvignon,red,Cabernet Sauvignon,,,,dry,,,,£17,https://www.pacificwines.co.uk/wine/cabernet-sauvignon_3,https://www.pacificwines.co.uk/assets/images/products/193-2x.jpg
Viano,Zinfandel,red,Zinfandel,,,,dry,,,,£17,https://www.pacificwines.co.uk/wine/zinfandel_2,https://www.pacificwines.co.uk/assets/images/products/194-2x.jpg
J Lohr,Riverstone Chardonnay,white,Chardonnay,,,Y,dry,,,,£18,,
J Lohr,Cypress Cabernet Sauvignon,red,Cabernet Sauvignon,,,Y,dry,,,,£19,,
J Lohr,Cypress Chardonnay,white,Chardonnay,,,Y,dry,,,,£19,,
J Lohr,Cypress Zinfandel,red,Zinfandel,,,Y,dry,,,,£19,,
Rodney Strong,California Chardonnay,white,Chardonnay,,,,dry,,,,£22,https://www.pacificwines.co.uk/wine/california-chardonnay,https://www.pacificwines.co.uk/assets/images/products/195-2x.jpg
Three Thieves,Chardonnay,white,Chardonnay,,,,dry,,,,£12,,
Three Thieves,Cabernet,red,Cabernet & Blends,,,,dry,,,,£12,,
Three Thieves,Pinot Noir,red,Pinot Noir,,,,dry,,,,£12,,
The Specialyst,Zinfandel,red,Zinfandel,,,,dry,,,,£17,,
Seaglass,Chardonnay,white,Chardonnay,,,,dry,,,,£17,,
Seaglass,Pinot Noir,red,Pinot Noir,,,,dry,,,,£18,,
